	alpha0	alpha7	alpha14	alpha21	alpha28	alpha35	alpha42	alpha49	alpha56	alpha63	alpha70	alpha77	alpha84	alpha91	alpha98	alpha105	alpha112	alpha119
YNL244C	0.07	-0.41	-0.11	-0.1	0.29	0.38	0.36	-0.1	0.27	-0.11	0.24	-0.47	0.13	-0.49	0.13	-0.2	0.04	0.06
YNL243W	-0.25	-0.4	0.22	-0.2	0.18	-0.21	0.34	-0.16	-0.01	0.07	-0.07	0.23	0.05	-0.1	-0.04	0.18	0.1	0.07
YNL242W	0.64	-0.06	0.0	-0.34	-0.05	0.3	-0.09	-0.14	-0.11	-0.42	0.06	-0.03	-0.02	-0.06	-0.16	-0.3	-0.19	0.98
YNL241C	0.21	0.26	0.72	-0.15	0.02	-0.16	0.37	-0.07	-0.02	0.02	-0.16	0.07	-0.16	-0.59	-0.3	-0.11	-0.08	0.14
YNL240C	0.14	-0.33	-0.33	-0.05	0.23	0.34	0.27	0.09	0.03	-0.05	-0.26	-0.23	0.04	-0.32	-0.205	-0.09	0.22	0.26
YNL239W	0.18	0.08	0.45	-0.08	0.2	-0.01	0.46	-0.15	-0.07	-0.03	-0.18	-0.07	-0.02	-0.28	0.03	-0.22	-0.16	-0.14
YNL238W	0.07	-0.53	-0.46	-0.34	0.37	0.48	0.52	-0.1	-0.08	-0.34	-0.29	-0.29	0.06	-0.03	0.27	0.29	0.16	0.24
YNL237W	0.19	0.28	0.16	-0.13	-0.02	-0.08	0.18	-0.04	0.01	0.11	-0.02	-0.02	0.08	-0.36	-0.08	-0.19	-0.06	0.0
YNL236W	-0.07	-0.2	0.01	-0.4	0.22	-0.11	0.06	-0.01	0.07	-0.01	0.18	-0.02	-0.01	-0.49	-0.02	0.04	0.04	0.7
YNL235C	-0.03	-0.08	0.27	-0.13	0.05	-0.09	0.23	-0.2	0.01	0.12	-0.04	0.1	-0.06	-0.18	-0.13	-0.24	-0.13	0.53
YNL234W	0.3	0.12	0.16	-0.36	0.16	-0.01	-0.04	-0.3	-0.22	0.09	-0.34	-0.13	0.25	-0.13	-0.2	-0.26	0.16	0.74
YNL233W	-0.37	-0.41	0.8	0.91	0.25	-0.03	-0.2	-0.33	-0.52	0.01	0.08	0.64	0.22	-0.18	-0.43	-0.45	-0.37	0.35
YNL232W	0.11	-0.16	-0.06	0.22	0.06	-0.09	-0.01	0.02	0.03	-0.15	-0.08	0.11	0.26	-0.04	-0.15	-0.06	0.0	-0.01
YNL231C	-0.76	-0.05	0.18	0.57	0.29	0.26	0.03	-0.13	-0.11	0.04	-0.08	0.31	0.21	0.1	-0.15	-0.29	-0.3	-0.13
YNL230C	0.05	0.065	0.08	1.17	-0.05	0.05	0.02	0.15	-0.05	-0.26	-0.37	-0.15	-0.02	-0.04	-0.39	-0.15	0.07	-0.09
YNL229C	0.12	0.0	0.06	-0.03	0.0	-0.03	0.16	-0.17	0.17	0.14	-0.05	0.22	0.07	-0.13	-0.32	-0.05	-0.13	-0.03
YNL228W	0.06	-0.38	-0.58	-0.04	-0.01	0.12	0.15	0.26	0.28	-0.09	-0.07	-0.06	0.26	-0.29	-0.07	0.13	0.17	0.17
YNL227C	0.0	-0.49	-0.57	-0.23	-0.06	0.34	0.14	0.47	0.2	0.23	-0.13	0.09	0.1	0.15	-0.46	-0.23	0.34	0.12
YNL226W	0.18	0.08	-0.02	-0.28	-0.12	-0.19	0.12	0.12	0.29	-0.26	0.04	0.08	0.08	-0.24	-0.09	0.04	0.14	0.04
YNL225C	-0.4	-0.215	-0.03	0.56	-0.01	0.17	-0.15	-0.08	-0.11	0.19	0.05	0.73	0.26	-0.38	-0.56	0.14	-0.35	-0.04
YNL224C	-0.07	0.04	0.1	0.16	-0.25	0.01	0.13	0.09	0.07	-0.06	-0.12	0.09	0.04	-0.23	-0.06	-0.01	0.03	0.07
YNL223W	0.1	0.61	-0.02	-0.32	0.04	0.3	-0.02	0.22	0.0	0.0	-0.08	0.38	-0.08	-0.32	-0.56	-0.32	0.0	-0.25
YNL222W	-0.02	-0.02	0.37	0.05	0.2	-0.03	0.07	-0.02	0.13	-0.16	0.05	-0.22	-0.11	-0.39	0.17	-0.46	0.41	-0.03
YNL221C	0.02	-0.38	-0.27	-0.52	-0.19	-0.21	0.13	0.15	0.36	0.42	0.25	0.02	-0.02	-0.19	0.05	0.19	0.0	0.18
YNL220W	-0.17	0.27	0.28	-0.21	-0.41	-0.39	0.1	0.2	0.27	0.11	0.27	-0.13	-0.17	-0.51	0.06	-0.1	0.53	0.0
YNL219C	-0.07	-0.36	-0.09	-0.32	0.01	-0.07	0.39	-0.05	0.11	0.14	-0.11	0.0	0.22	-0.2	0.19	-0.18	-0.02	0.42
YNL218W	-0.39	-0.46	0.16	0.3	0.22	-0.18	0.01	-0.05	-0.28	-0.05	0.01	0.23	0.14	-0.16	-0.13	-0.24	0.25	0.63
YNL217W	-0.02	-0.24	-0.44	-0.55	-0.12	-0.36	0.02	-0.29	-0.04	0.15	0.15	0.42	0.37	0.295	0.22	-0.04	-0.06	0.82
YNL216W	-0.63	-0.37	-0.46	-0.35	0.32	0.04	0.36	0.04	-0.01	-0.02	-0.02	-0.2	0.01	-0.15	0.29	0.28	0.12	0.74
YNL215W	-0.11	-0.21	0.18	-0.13	-0.01	-0.41	0.13	0.08	0.1	0.24	0.04	0.1	-0.03	-0.13	-0.23	-0.33	0.05	0.56
YNL214W	-0.02	-0.23	-0.02	0.17	0.21	-0.2	0.23	-0.22	0.07	-0.05	0.01	-0.33	0.0	-0.27	-0.12	-0.12	0.1	0.79
YNL213C	-0.02	-0.39	-0.07	-0.26	-0.12	-0.19	0.29	0.23	0.15	0.23	-0.15	-0.08	-0.02	-0.005	0.01	-0.52	0.12	0.77
YNL212W	0.14	-0.44	-0.3	-0.88	-0.03	-0.14	0.22	-0.05	-0.01	0.01	-0.08	-0.19	0.19	-0.1	0.25	0.28	0.26	0.88
YNL211C	-0.13	0.0	0.04	-0.03	-0.08	0.08	0.23	-0.22	0.07	0.1	-0.19	-0.03	-0.21	-0.21	-0.21	-0.15	-0.15	0.88
YNL210W	0.44	0.31	-0.02	-0.46	0.2	-0.01	0.18	-0.02	-0.06	-0.08	-0.43	-0.65	-0.02	-0.09	-0.22	-0.22	0.22	0.96
YNL209W	0.28	-0.41	-0.13	0.0	0.05	-0.04	-0.06	-0.07	0.07	-0.23	0.26	-0.1	0.06	-0.16	0.38	0.26	0.01	-0.17
YNL208W	1.17	0.89	1.09	1.16	0.53	0.53	0.71	-0.07	-0.08	-0.65	-0.5	-0.53	-0.43	-0.95	-0.53	-0.63	-0.75	-0.95
YNL207W	-0.08	0.12	0.12	0.12	-0.13	-0.43	0.04	0.5	-0.11	0.17	0.07	0.09	0.11	-0.11	-0.06	-0.22	-0.24	0.25
YNL206C	-0.19	0.055	0.3	0.68	0.19	-0.09	-0.05	-0.37	-0.17	0.02	0.01	0.11	0.37	-0.28	-0.1	-0.02	-0.19	-0.21
YNL205C	0.0	-0.18	-0.205	-0.23	-0.18	0.06	0.08	-0.05	-0.14	0.25	-0.2	0.32	0.27	0.1	-0.23	0.04	0.12	-0.03
YNL204C	0.12	0.075	0.03	-0.005	-0.04	-0.13	0.0	0.07	-0.06	0.0	-0.15	0.02	0.22	0.15	-0.11	0.03	-0.06	-0.09
YNL203C	0.05	-0.2	-0.03	-0.01	0.01	0.31	0.05	-0.3	-0.03	-0.215	-0.4	0.25	0.28	0.04	-0.2	-0.05	0.21	0.03
YNL202W	0.2	0.18	0.16	-0.035	-0.23	0.29	0.0	0.02	-0.17	0.08	-0.25	0.34	0.2	0.06	-0.08	-0.23	-0.12	-0.21
YNL201C	0.18	1.14	-0.57	0.09	0.04	-0.11	-0.34	-0.32	-0.22	0.07	-0.13	0.33	0.1	-0.01	0.12	-0.04	-0.19	-0.34
YNL200C	0.27	0.55	0.83	0.83	-0.03	-0.1	-0.01	-0.07	-0.13	-0.2	0.18	-0.16	0.12	-0.43	-0.2	-0.33	-0.39	-0.24
YNL199C	0.0	-0.23	-0.3	0.06	-0.08	0.27	0.1	-0.12	0.02	0.19	-0.12	0.29	0.12	-0.12	-0.12	-0.06	0.02	0.06
YNL198C	-0.06	0.85	0.09	0.085	0.08	-0.16	0.11	-0.08	0.0	-0.03	-0.12	-0.21	0.27	-0.19	-0.16	-0.12	-0.23	-0.04
YNL197C	-0.78	-0.49	-0.72	0.15	0.13	0.63	0.37	0.1	-0.15	0.06	-0.43	0.12	0.08	0.34	0.23	0.06	0.23	0.06
YNL196C	0.51	0.21	-0.09	-0.03	0.29	0.345	0.4	0.01	-0.15	0.07	-0.46	-0.29	0.05	-0.2	-0.2	-0.11	0.21	0.0
YNL195C	-0.07	0.12	0.3	0.17	0.05	-0.01	0.11	-0.005	-0.12	-0.12	-0.39	0.15	-0.09	-0.115	-0.14	-0.43	-0.1	0.57
YNL194C	0.16	0.35	0.09	0.18	0.13	0.08	0.11	-0.39	-0.235	-0.08	-0.26	0.06	0.22	-0.1	-0.19	-0.34	0.12	0.0
YNL193W	-0.01	-0.24	0.11	-0.28	0.03	-0.1	0.35	0.28	0.245	0.21	-0.2	0.01	-0.24	-0.22	-0.02	-0.12	0.03	0.67
YNL192W	2.04	0.88	-0.03	-0.6	-0.36	-0.68	-0.53	-1.26	-1.3	0.62	1.38	0.93	0.37	-0.4	-0.28	-0.46	-0.49	0.16
YNL191W	0.13	-0.4	-0.3	-0.38	0.3	0.12	0.5	0.415	0.33	0.18	-0.22	-0.16	-0.24	-0.3	0.01	-0.24	0.15	0.49
YNL190W	0.05	-0.52	-0.25	-0.4	0.11	-0.29	0.7	0.16	0.56	0.13	0.05	-0.44	-0.15	-0.44	0.15	-0.02	0.42	0.19
YNL189W	-0.04	-0.39	-0.04	0.12	0.15	-0.15	0.18	0.05	-0.08	0.08	0.1	0.12	-0.08	-0.13	0.01	0.02	0.02	0.12
YNL188W	-0.73	-0.3	0.29	0.12	-0.01	-0.14	0.19	-0.16	-0.1	0.58	0.57	0.14	0.14	-0.26	-0.12	-0.46	0.1	0.15
YNL187W	0.19	-0.08	0.01	-0.16	-0.065	0.03	0.22	0.01	0.08	0.06	-0.12	0.06	0.16	-0.18	0.16	-0.24	0.1	-0.31
YNL186W	0.24	-1.01	0.02	0.08	0.16	-0.24	0.26	0.21	0.24	0.13	0.28	-0.1	-0.05	-0.47	0.16	-0.11	0.2	0.0
YNL185C	-0.15	-0.17	0.17	0.03	0.32	-0.21	0.36	-0.07	0.07	-0.07	-0.07	0.03	0.24	-0.21	-0.04	-0.21	0.3	-0.3
YNL184C	-0.03	0.12	-0.06	0.39	0.15	0.04	0.16	0.05	-0.01	-0.01	-0.03	0.05	0.22	-0.27	-0.15	-0.23	-0.29	-0.1
YNL183C	-0.25	0.39	-0.03	0.2	-0.17	0.08	0.08	-0.11	0.04	0.13	0.15	0.26	-0.07	-0.23	-0.13	-0.23	-0.05	-0.07
YNL182C	0.26	-0.125	-0.51	0.11	0.01	-0.15	0.23	-0.02	0.12	-0.07	0.03	0.14	0.41	-0.26	-0.19	-0.04	-0.15	0.08
YNL181W	-0.44	-0.17	0.15	0.46	0.13	0.28	-0.03	-0.25	-0.05	-0.05	0.12	0.36	0.1	-0.01	-0.19	-0.29	0.09	-0.21
YNL180C	0.15	0.66	0.36	0.53	-0.13	-0.28	0.09	-0.34	-0.11	-0.13	-0.09	0.01	0.1	-0.57	0.52	-0.26	-0.24	-0.26
YNL179C	-0.08	0.26	0.05	0.22	-0.1	0.22	-0.08	-0.24	-0.14	0.14	-0.54	0.29	-0.06	0.19	-0.31	-0.02	0.32	-0.14
YNL178W	0.35	-0.19	-0.29	-0.21	-0.33	-0.33	0.22	-0.12	0.29	-0.14	0.14	-0.08	0.3	-0.29	0.39	0.05	0.14	0.1
YNL177C	-0.32	0.15	-0.01	0.36	-0.18	0.22	0.02	-0.22	-0.03	0.12	-0.01	0.15	-0.01	-0.07	-0.03	-0.14	0.07	-0.05
YNL176C	-0.11	-0.2	-0.32	-0.26	0.28	0.3	0.09	0.19	0.25	-0.47	0.28	-0.41	-0.15	-0.01	0.6	0.38	-0.01	-0.43
YNL175C	0.36	-0.56	-1.09	-0.53	-0.3	0.08	0.28	0.27	0.43	0.06	-0.09	0.17	0.43	-0.05	0.12	0.19	0.01	0.22
YNL174W	0.0	-0.59	-0.64	-0.37	0.16	0.3	-0.11	0.32	0.41	-0.22	0.22	-0.1	0.09	0.16	0.27	0.27	-0.03	-0.13
YNL173C	-0.18	0.75	0.09	-0.12	-0.1	-0.04	-0.43	-0.41	-0.14	0.14	0.07	0.31	0.22	0.91	-0.71	-0.2	-0.18	0.03
YNL172W	-0.61	-0.28	-0.18	-0.07	-0.21	0.46	0.01	0.28	0.22	0.03	0.39	-0.2	-0.25	-0.43	0.26	0.17	0.16	0.26
YNL171C	-0.11	-0.17	0.02	-0.19	0.07	-0.1	0.26	-0.01	0.11	0.11	-0.11	-0.08	-0.04	-0.34	0.11	-0.04	0.56	-0.06
YNL170W	-0.27	-0.37	0.45	0.25	0.25	-0.23	0.16	0.0	0.0	-0.14	0.26	-0.08	0.15	-0.29	0.32	-0.16	0.25	-0.56
YNL169C	-0.27	-0.1	0.36	0.12	0.31	-0.19	0.14	-0.34	-0.14	-0.16	-0.01	0.01	0.31	-0.12	0.2	-0.16	0.28	-0.23
YNL168C	0.07	-0.3	0.25	0.23	0.39	-0.19	0.24	-0.05	0.12	-0.1	0.32	-0.27	-0.04	-0.45	0.23	-0.25	0.21	-0.41
YNL167C	-0.08	-0.22	0.09	0.11	0.22	-0.01	0.11	-0.06	-0.08	0.06	-0.22	-0.04	0.17	-0.18	0.08	-0.14	0.25	-0.06
YNL166C	-0.35	-0.72	0.4	0.34	0.67	0.23	0.46	0.04	-0.19	-0.31	-0.45	-0.07	-0.02	-0.07	0.43	-0.07	0.15	-0.45
YNL165W	0.01	-0.19	0.42	0.38	0.38	0.1	0.21	-0.26	-0.32	-0.47	-0.16	0.05	0.34	-0.14	0.1	-0.32	0.14	-0.26
YNL164C	0.05	-0.57	0.48	0.14	0.18	0.09	0.36	0.17	0.14	-0.05	-0.11	-0.29	-0.06	-0.31	0.03	-0.13	0.15	-0.27
YNL163C	0.16	-0.4	-0.16	-0.39	0.0	-0.02	0.15	0.13	0.19	0.09	-0.09	0.05	-0.05	-0.06	-0.05	-0.22	0.41	0.26
YNL162W	0.11	-0.3	0.0	-0.05	0.23	-0.35	0.06	0.1	0.02	0.06	0.19	-0.28	-0.04	-0.26	0.36	-0.07	0.41	-0.19
YNL161W	-0.26	-0.24	-0.05	0.01	0.13	0.01	0.31	0.09	-0.04	0.03	-0.3	-0.11	0.0	-0.11	0.14	-0.04	0.4	0.01
YNL160W	-1.3	-0.06	0.6	0.5	0.21	-0.23	-0.91	-0.57	0.79	0.21	1.12	0.29	0.16	-0.55	-0.19	-0.34	0.12	0.16
YNL159C	0.02	0.08	0.03	-0.03	-0.48	0.25	0.1	-0.26	-0.11	-0.14	-0.11	0.03	0.0	1.45	-0.56	-0.16	-0.14	-0.12
YNL158W	-0.19	-0.04	0.23	-0.01	0.25	0.09	0.05	-0.19	0.24	-0.31	0.12	-0.31	-0.06	-0.21	0.28	0.2	-0.07	-0.06
YNL157W	-0.03	0.13	-0.29	0.02	-0.22	0.1	0.1	0.15	0.1	-0.16	-0.14	-0.24	0.04	0.69	-0.09	-0.13	-0.03	0.0
YNL156C	-0.09	0.08	0.28	0.11	0.14	0.55	-0.02	-0.03	0.17	-0.27	0.25	-0.16	-0.1	-0.37	0.04	0.25	-0.35	-0.47
YNL155W	0.17	0.28	-0.06	-0.02	-0.15	0.17	0.31	0.17	0.22	-0.27	-0.18	-0.04	0.13	-0.35	-0.33	-0.11	0.01	0.07
YNL154C	-0.11	-0.08	-0.14	0.24	-0.01	0.14	-0.21	0.14	0.01	-0.17	0.26	0.01	-0.15	0.04	0.1	0.19	-0.15	-0.12
YNL153C	0.34	-0.24	-0.33	-0.08	0.03	0.03	0.085	0.14	0.5	0.15	0.08	0.08	-0.06	-0.29	-0.22	-0.12	-0.04	0.01
YNL152W	-0.01	-0.29	-0.06	-0.06	0.3	0.19	0.22	0.05	0.34	-0.14	0.14	-0.34	-0.28	-0.22	0.2	0.2	-0.36	-0.16
YNL151C	0.11	-0.25	-0.58	-0.04	-0.38	0.3	0.21	0.18	0.21	0.05	-0.06	0.0	0.07	0.07	-0.19	-0.06	0.07	0.31
YNL150W	-0.17	-0.43	-0.1	-0.03	-0.03	0.05	0.18	0.34	0.57	0.11	0.52	-0.28	-0.15	-0.28	0.03	0.25	-0.45	-0.1
YNL149C	-0.12	-0.11	0.07	-0.06	-0.38	0.25	0.3	0.19	0.41	0.07	0.0	0.03	-0.09	-0.27	-0.29	-0.09	0.01	0.07
YNL148C	0.03	-0.37	0.14	0.03	0.31	-0.19	0.21	-0.03	0.12	0.06	0.34	-0.03	-0.08	-0.21	-0.08	-0.21	0.09	-0.14
YNL147W	0.16	0.03	0.02	-0.12	-0.03	-0.18	0.11	-0.03	0.11	0.18	-0.05	-0.12	0.22	-0.39	0.1	-0.28	0.05	0.22
YNL146W	0.17	0.03	0.49	-0.16	0.12	-0.2	0.24	0.23	0.01	0.09	-0.05	-0.34	-0.18	-0.05	-0.39	-0.16	0.16	0.0
YNL145W	2.06	1.36	0.59	-0.8	-0.76	-1.8	-1.03	-1.3	0.12	0.87	1.17	0.34	0.44	-0.76	-0.36	-0.98	0.33	0.49
YNL144C	0.15	0.07	0.15	-0.23	0.39	0.02	0.37	-0.06	0.13	-0.11	-0.19	-0.43	-0.3	-0.235	-0.17	0.05	0.29	-0.13
YNL143C	-0.1	0.07	-0.4	0.11	-0.12	0.18	0.02	0.15	-0.06	0.12	-0.23	-0.12	0.14	-0.03	0.18	-0.08	-0.03	0.17
YNL142W	-0.26	-0.3	0.08	-0.06	0.43	0.46	0.35	0.06	0.01	0.05	-0.04	-0.42	0.01	-0.3	0.15	-0.2	0.3	-0.32
YNL141W	0.78	-0.4	-0.9	-0.97	0.16	-0.18	0.43	0.06	0.44	0.24	-0.08	-0.24	0.39	-0.04	0.05	-0.26	0.36	0.16
YNL140C	0.04	-0.52	-0.04	-0.05	0.28	0.31	0.02	0.11	-0.02	0.02	0.09	0.04	-0.01	-0.05	-0.08	-0.18	0.08	-0.04
YNL139C	0.14	-0.01	-0.03	-0.28	0.09	-0.1	0.11	-0.11	-0.08	0.15	-0.11	0.14	-0.08	-0.13	-0.2	-0.01	0.26	0.26
YNL138W	0.02	-0.36	0.32	0.34	0.51	0.18	0.28	-0.02	-0.14	-0.24	-0.06	-0.04	-0.05	-0.31	0.12	-0.28	0.09	-0.36
YNL137C	0.05	-0.14	0.35	0.15	0.24	-0.09	0.2	0.06	-0.09	-0.09	-0.01	0.02	0.13	-0.23	-0.18	-0.27	-0.01	-0.06
YNL136W	0.12	0.12	0.17	0.15	0.07	0.06	-0.01	0.04	0.07	-0.05	0.04	0.06	-0.01	-0.01	-0.1	0.33	-0.85	-0.22
YNL135C	0.13	0.07	-0.02	0.17	0.16	-0.1	0.38	-0.19	0.13	-0.12	0.13	-0.26	0.32	-0.26	0.04	-0.21	-0.14	-0.21
YNL134C	0.03	0.79	1.1	0.88	0.35	0.29	-0.21	-0.14	-0.21	-0.3	-0.03	0.0	-0.08	-0.08	-0.23	-0.24	-1.43	-0.51
YNL133C	0.35	0.04	0.21	-0.22	-0.4	0.27	-0.22	-0.12	-0.14	-0.01	-0.14	0.21	0.27	0.06	0.015	-0.03	0.04	-0.14
YNL132W	0.01	-0.68	-0.78	-0.51	0.12	-0.02	0.04	0.13	0.43	0.2	0.64	0.03	0.01	0.22	0.38	0.3	-0.42	-0.09
YNL131W	0.09	0.02	-0.21	0.28	0.2	0.09	0.15	-0.12	0.06	-0.16	-0.1	-0.08	0.28	-0.27	-0.01	-0.16	-0.05	-0.01
YNL130C	-0.01	0.07	0.43	0.36	0.46	0.09	0.12	-0.06	-0.03	-0.38	-0.04	-0.26	0.13	-0.04	0.15	-0.15	-0.45	-0.4
YNL129W	0.2	-0.09	0.12	-0.14	0.24	0.04	0.2	0.06	0.04	0.19	-0.12	0.25	0.24	-0.315	-0.87	-0.525	-0.18	-0.18
YNL128W	0.02	-0.01	0.19	-0.13	0.21	-0.09	0.24	0.04	-0.01	-0.18	0.23	-0.33	0.05	0.01	-0.01	-0.12	-0.23	0.0
YNL127W	0.22	0.23	-0.15	0.34	0.1	0.27	-0.16	-0.09	-0.05	-0.11	-0.15	0.22	0.17	-0.11	-0.1	-0.01	-0.84	0.23
YNL126W	-0.93	-0.81	-0.22	0.23	0.61	0.41	0.46	0.28	-0.33	-0.66	-0.56	-0.24	0.39	0.51	0.58	0.85	-0.24	-0.31
YNL125C	0.25	0.13	-0.16	-0.01	-0.01	0.24	0.14	0.04	-0.04	-0.01	-0.23	0.07	0.07	-0.09	-0.59	0.04	-0.07	0.24
YNL124W	0.21	-0.3	-0.01	-0.02	0.31	0.12	0.14	0.24	0.01	0.3	-0.26	-0.16	-0.05	-0.22	-0.1	-0.14	0.05	-0.14
YNL123W	0.34	-0.28	-0.4	-0.42	0.22	-0.22	0.37	0.07	0.15	0.09	-0.06	0.07	0.06	-0.22	-0.16	0.01	0.35	0.03
YNL122C	0.22	-0.47	0.16	-0.06	0.19	0.1	0.32	-0.19	0.17	0.06	0.17	-0.29	0.05	-0.29	0.01	-0.21	0.11	-0.07
YNL121C	0.02	-0.54	0.16	-0.02	0.26	-0.54	0.14	0.14	0.09	0.17	-0.05	-0.07	-0.11	0.07	0.08	0.08	0.18	-0.05
YNL120C	0.31	-0.81	-0.16	-0.39	0.43	0.05	0.51	-0.06	0.19	-0.06	0.01	-0.25	0.16	-0.25	0.1	-0.04	0.3	-0.04
YNL119W	0.17	-0.07	-0.16	-0.18	-0.01	-0.09	0.27	-0.03	0.07	0.0	-0.14	-0.09	0.2	-0.22	0.18	-0.12	0.31	-0.09
YNL118C	-0.36	-0.58	-0.27	-0.31	0.22	0.25	0.42	0.0	-0.02	-0.04	0.03	-0.12	-0.02	-0.04	0.33	0.18	0.37	-0.02
YNL117W	0.11	0.2	0.19	-0.17	0.06	-0.11	0.2	-0.06	-0.02	0.2	-0.19	-0.11	0.16	-0.23	-0.19	-0.01	0.14	-0.17
YNL116W	-0.38	-0.38	-0.27	0.09	0.33	0.28	0.56	0.02	-0.02	-0.04	-0.29	-0.31	0.07	-0.04	0.28	0.0	0.3	-0.18
YNL115C	0.31	0.44	0.76	0.31	0.32	0.02	0.13	-0.37	-0.44	-0.24	-0.16	-0.08	-0.07	-0.31	-0.23	-0.26	-0.05	-0.23
YNL114C	0.19	-0.76	-0.37	-0.3	0.31	0.05	0.48	0.03	0.3	-0.06	0.05	-0.14	0.21	-0.2	0.11	-0.06	0.21	-0.06
YNL113W	0.26	-0.6	-0.63	-0.82	0.16	-0.08	0.57	0.34	0.4	0.18	0.06	-0.06	0.21	-0.27	0.02	-0.06	0.24	0.13
YNL112W	0.41	-0.38	-0.83	-0.86	-0.34	-0.41	0.04	0.15	0.35	0.02	0.21	-0.03	0.37	0.5	0.45	0.43	-0.11	0.04
YNL111C	-0.03	-0.39	-0.1	-0.18	0.03	0.29	0.68	0.1	0.44	0.1	0.2	-0.36	0.36	-0.42	-0.33	-0.15	-0.13	-0.1
YNL110C	0.18	-0.61	-0.88	-0.21	-0.07	0.04	0.18	0.26	0.42	0.0	0.25	0.05	0.05	-0.05	-0.02	0.21	0.1	0.1
YNL109W	-0.23	0.12	0.1	-0.11	0.13	0.19	0.38	-0.05	0.22	0.1	-0.21	0.12	0.22	-0.19	-0.31	-0.31	0.05	-0.23
YNL108C	-0.07	-0.17	0.0	0.08	0.35	0.38	0.41	-0.05	0.15	-0.17	0.19	-0.3	0.11	-0.28	0.23	0.05	-0.28	-0.26
YNL107W	0.57	0.15	0.01	-0.01	-0.11	0.06	0.17	-0.06	-0.1	0.06	-0.11	-0.1	-0.06	-0.03	-0.58	0.09	-0.03	0.07
YNL106C	0.59	-0.08	-0.14	0.0	-0.07	-0.12	-0.05	-0.26	-0.14	0.16	0.29	0.16	-0.16	-0.01	-0.1	0.04	0.0	-0.14
YNL105W	1.03	0.39	-0.25	-0.18	-0.33	0.12	-0.01	-0.2	-0.05	0.12	-0.07	-0.05	0.11	-0.27	-0.27	0.04	0.06	0.22
YNL104C	0.62	0.23	0.29	0.27	0.18	-0.07	0.11	-0.27	-0.24	-0.61	-0.01	-0.22	0.04	-0.01	0.23	-0.01	-0.25	-0.25
YNL103W	-0.07	-0.01	-0.11	0.01	-0.24	0.03	-0.05	-0.13	-0.09	0.4	-0.07	0.14	0.01	0.03	-0.13	0.15	0.145	0.14
YNL102W	-0.75	2.01	0.06	0.86	0.5	-0.3	-0.35	-0.33	-0.22	-0.77	0.15	0.6	0.59	-0.04	0.07	-0.66	-0.82	-0.6
YNL101W	-0.08	0.4	-0.38	-0.05	0.26	0.04	0.27	-0.18	0.21	0.17	-0.22	0.07	-0.08	-0.18	-0.18	-0.07	-0.035	0.0
YNL100W	0.24	-0.26	0.13	-0.11	0.23	0.1	0.31	-0.11	0.04	0.13	-0.13	-0.19	0.08	-0.21	-0.07	-0.23	0.18	-0.13
YNL099C	-0.07	-0.09	-0.01	-0.5	0.29	-0.01	0.53	0.2	0.18	0.1	-0.19	-0.26	0.02	-0.19	0.01	-0.21	0.33	-0.11
YNL098C	0.15	0.23	0.16	0.04	0.16	-0.09	0.06	-0.2	-0.13	0.15	0.06	0.06	0.09	-0.11	0.16	-0.16	-0.48	-0.13
YNL097C	-0.31	0.34	0.18	-0.19	0.16	-0.12	0.09	0.04	-0.08	0.24	-0.01	0.07	0.01	-0.15	-0.12	-0.25	0.16	-0.06
YNL096C	0.21	-0.42	-0.21	-0.35	0.13	-0.04	0.38	-0.17	0.27	-0.11	0.32	-0.38	0.35	-0.21	0.6	-0.38	0.25	-0.27
YNL095C	-0.09	-0.4	-0.18	-0.48	0.27	0.37	0.47	0.27	0.23	0.08	-0.11	-0.03	0.03	0.0	0.05	-0.27	0.12	0.02
YNL094W	0.08	-0.25	0.02	0.21	0.22	0.48	0.26	0.02	-0.17	-0.12	-0.3	-0.12	-0.11	-0.21	0.02	-0.23	0.26	-0.06
YNL093W	0.01	0.53	0.06	-0.34	0.21	0.04	0.15	-0.17	-0.08	0.09	-0.41	-0.21	0.09	-0.05	0.13	-0.17	-0.14	0.26
YNL092W	0.09	0.19	0.46	0.14	0.38	0.59	0.22	0.09	-0.19	-0.19	-0.46	-0.22	-0.14	-0.33	-0.21	-0.3	0.09	-0.22
YNL091W	-0.12	-0.26	-0.18	-0.54	0.19	-0.08	0.28	0.18	0.1	0.3	0.03	-0.12	-0.06	-0.16	0.08	0.06	0.13	0.18
YNL090W	0.1	-0.18	0.1	0.23	0.31	0.5	0.24	-0.23	-0.15	-0.23	-0.18	-0.15	0.16	-0.27	0.13	-0.34	0.22	-0.23
YNL089C	-0.01	0.12	0.21	-0.34	0.26	0.03	0.31	-0.04	-0.08	-0.16	-0.09	-0.04	0.16	-0.23	0.2	-0.17	0.08	-0.21
YNL088W	0.12	0.26	-0.1	-0.06	0.22	-0.36	0.07	0.1	0.23	-0.36	0.44	-0.17	0.0	-0.3	0.52	0.055	-0.41	-0.19
YNL087W	-0.48	-0.48	-0.5	-0.19	-0.09	0.16	0.27	0.05	0.18	0.15	-0.11	0.08	0.05	0.08	0.24	0.39	0.0	0.21
YNL086W	0.04	0.09	0.1	0.12	0.07	-0.08	0.0	0.0	0.0	-0.12	0.07	-0.12	0.0	-0.02	-0.1	0.13	-0.15	-0.03
